Ens tomate,,,,,,,,
Tomate,,40,g,7.8,0.3,1.3,0.2,0.2
Aceite,,2,ml,17.9,0.0,0.0,0.0,2.0
Total,,,,25.8,0.3,1.3,0.2,2.2
Ens tomate porotos verdes,,,,,,,,
Tomate,,30,g,5.9,0.2,1.0,0.2,0.1
Porotos verdes,,10,g,3.1,0.2,0.5,0.2,0.0
Aceite,,2,ml,17.9,0.0,0.0,0.0,2.0
TOTAL,,,,26.9,0.5,1.4,0.3,2.1
Ens pepino tomate,,,,,,,,
Tomate,,30,g,5.9,0.2,1.0,0.2,0.1
Pepino,,10,g,2.8,0.0,0.6,0.1,0.0
Aceite,,2,ml,17.9,0.0,0.0,0.0,2.0
TOTAL,,,,26.6,0.3,1.6,0.2,2.1
Ens repollo,,,,,,,,
Repollo,,40,g,12.3,0.7,2.1,0.8,0.1
Jugo limón,,2,ml,0.6,0.0,0.1,0.0,0.0
Aceite,,2,ml,17.9,0.0,0.0,0.0,2.0
TOTAL,,,,30.8,0.7,2.2,0.8,2.1
Ens repollo zanahoria,,,,,,,,
Repollo,,20,g,6.1,0.4,1.0,0.4,0.1
Zanahoria,,20,g,8.1,0.2,1.6,0.1,0.1
Jugo limón,,2,ml,0.6,0.0,0.1,0.0,0.0
Aceite,,2,ml,17.9,0.0,0.0,0.0,2.0
TOTAL,,,,32.8,0.6,2.8,0.6,2.2
Ens repollo palta,,,,,,,,
Repollo,,20,g,6.1,0.4,1.0,0.4,0.1
Palta,,20,g,38.9,0.3,1.1,0.3,3.7
Jugo limón,,2,ml,0.6,0.0,0.1,0.0,0.0
Aceite,,2,ml,17.9,0.0,0.0,0.0,2.0
TOTAL,,,,63.6,0.6,2.3,0.7,5.8
Ens betarraga,,,,,,,,
Betarraga,,30,g,12.3,0.6,2.4,0.4,0.1
Jugo limón,,2,ml,0.6,0.0,0.1,0.0,0.0
Aceite,,2,ml,17.9,0.0,0.0,0.0,2.0
TOTAL,,34,,30.8,0.6,2.5,0.4,2.1
Ens choclos,,,,,,,,
Choclos,,30,g,35.8,1.3,6.8,0.3,0.4
Jugo limón,,2,ml,0.6,0.0,0.1,0.0,0.0
Aceite,,2,ml,17.9,0.0,0.0,0.0,2.0
TOTAL,,,,54.3,1.3,6.9,0.3,2.4
Ens apio,,,,,,,,
Apio,,40,g,7.3,0.3,1.4,0.2,0.1
Jugo limón,,2,ml,0.6,0.0,0.1,0.0,0.0
Aceite,,2,ml,17.9,0.0,0.0,0.0,2.0
TOTAL,,44,,25.8,0.3,1.5,0.2,2.1
Ens apio palta,,,,,,,,
Apio,,20,g,3.6,0.1,0.7,0.1,0.0
Palta,,20,g,38.9,0.3,1.1,0.3,3.7
Jugo limón,,2,ml,0.6,0.0,0.1,0.0,0.0
Aceite,,2,ml,17.9,0.0,0.0,0.0,2.0
TOTAL,,,,61.1,0.4,1.9,0.4,5.8
Ens arvejas,,,,,,,,
Arvejas,,40,g,33.7,2.4,5.5,1.1,0.2
Jugo limón,,2,ml,0.6,0.0,0.1,0.0,0.0
Aceite,,2,ml,17.9,0.0,0.0,0.0,2.0
TOTAL,,44,,52.2,2.4,5.7,1.1,2.2
Ens porotos verdes,,,,,,,,
Porotos verdes,,40,g,12.3,0.9,1.9,0.6,0.1
Jugo limón,,2,ml,0.6,0.0,0.1,0.0,0.0
Aceite,,2,ml,17.9,0.0,0.0,0.0,2.0
TOTAL,,,,30.8,0.9,2.0,0.6,2.1
Ens espinaca cocida,,,,,,,,
Espinacas,,40,g,14.2,0.7,0.3,0.3,2.1
Jugo limón,,2,ml,0.6,0.0,0.1,0.0,0.0
Aceite,,2,ml,17.9,0.0,0.0,0.0,2.0
TOTAL,,,,32.8,0.7,0.5,0.3,4.1
Ens pepino,,,,,,,,
Pepino,,40,g,11.1,0.2,2.5,0.2,0.0
Jugo limón,,2,ml,0.6,0.0,0.1,0.0,0.0
Aceite,,2,ml,17.9,0.0,0.0,0.0,2.0
TOTAL,,44,,29.6,0.2,2.7,0.2,2.0
Ens espárragos,,,,,,,,
Espárragos,,40,g,6.2,0.7,0.6,0.4,0.1
Jugo limón,,2,ml,0.6,0.0,0.1,0.0,0.0
Aceite,,2,ml,17.9,0.0,0.0,0.0,2.0
TOTAL,,,,24.7,0.7,0.8,0.4,2.1
Ens zanahoria,,,,,,,,
Zanahoria,,40,g,16.2,0.4,3.2,0.3,0.2
Jugo limón,,2,ml,0.6,0.0,0.1,0.0,0.0
Aceite,,2,ml,17.9,0.0,0.0,0.0,2.0
TOTAL,,,,34.7,0.4,3.4,0.3,2.2
Ens brócoli,,,,,,,,
Brócoli,,40,g,16.3,1.4,2.4,0.6,0.1
Jugo limón,,2,ml,0.6,0.0,0.1,0.0,0.0
Aceite,,2,ml,17.9,0.0,0.0,0.0,2.0
TOTAL,,,,34.8,1.5,2.5,0.6,2.1
Ens brócoli choclos,,,,,,,,
Brócoli,,20,g,8.1,0.7,1.2,0.3,0.1
Choclos,,20,g,23.9,0.8,4.5,0.2,0.3
Jugo limón,,2,ml,0.6,0.0,0.1,0.0,0.0
Aceite,,2,ml,17.9,0.0,0.0,0.0,2.0
TOTAL,,44,,50.5,1.6,5.9,0.5,2.3
Ens coliflor tomate,,,,,,,,
Coliflor,,20,g,7.9,0.5,1.2,0.2,0.1
Tomate,,20,g,3.9,0.2,0.6,0.1,0.1
Jugo limón,,2,ml,0.6,0.0,0.1,0.0,0.0
Aceite,,2,ml,17.9,0.0,0.0,0.0,2.0
TOTAL,,,,30.3,0.5,1.2,0.2,2.2
Ens coliflor,,,,,,,,
Coliflor,,40,g,15.8,1.1,2.3,0.4,0.2
Jugo limón,,2,ml,0.6,0.0,0.1,0.0,0.0
Aceite,,2,ml,17.9,0.0,0.0,0.0,2.0
TOTAL,,44,,34.3,1.1,2.3,0.4,2.2
Alcachofa /ss limoneta,,,,,,,,
Alcachofa,,30,g,17.2,0.5,3.6,0.2,0.1
Jugo limón,,5,g,1.5,0.0,0.3,0.0,0.0
Aceite,,2,ml,17.9,0.0,0.0,0.0,2.0
TOTAL,,37,,36.6,0.5,3.9,0.3,2.1
Ens lechuga rúcula,,,,,,,,
Lechuga,,12,g,2.3,0.2,0.3,0.1,0.0
Rúcula,,3,g,0.9,0.1,0.1,0.0,0.0
Jugo limón,,2,ml,0.6,0.0,0.1,0.0,0.0
Aceite,,2,ml,17.9,0.0,0.0,0.0,2.0
TOTAL,,,,21.8,0.3,0.5,0.1,2.1
Ens papa zanahoria,,,,,,,,
Papa,,35,g,30.7,0.9,6.7,0.7,0.1
Zanahoria,,5,g,2.0,0.0,0.4,0.0,0.0
Jugo limón,,2,ml,0.6,0.0,0.1,0.0,0.0
Aceite,,1.5,ml,13.5,0.0,0.0,0.0,1.5
TOTAL,,,,46.8,0.9,7.2,0.8,1.6
Empanada queso,,,,,,,,
Queso gauda,,10,g,35.1,2.5,0.5,0.0,2.6
Harina s/p.h,,20,g,69.7,1.6,15.3,0.1,0.2
Aceite,,2,ml,17.9,0.0,0.0,0.0,2.0
TOTAL,,,,122.7,4.1,15.8,0.1,4.8
Ens choclos zanahoria,,,,,,,,
Zanahoria,,30,g,12.2,0.3,2.4,0.2,0.2
Choclos,,10,g,11.9,0.4,2.3,0.1,0.1
Jugo limón,,2,ml,0.6,0.0,0.1,0.0,0.0
Aceite,,2,ml,17.9,0.0,0.0,0.0,2.0
TOTAL,,,,42.6,0.7,4.8,0.3,2.3
Ens chilena,,,,,,,,
Tomate,,40,g,7.8,0.3,1.3,0.2,0.2
Cebolla morada,,4,g,1.7,0.0,0.4,0.0,0.0
Cilantro,,,,,,,,
Aceite,,2,ml,17.9,0.0,0.0,0.0,2.0
TOTAL,,,,27.5,0.4,1.7,0.3,2.2
Ens choclos tomate,,,,,,,,
Choclos,,20,g,23.9,0.8,4.5,0.2,0.3
Tomate,,20,g,3.9,0.2,0.6,0.1,0.1
Aceite,,2,ml,17.9,0.0,0.0,0.0,2.0
TOTAL,,,,45.7,1.0,5.2,0.3,2.3
/ensalada surtida,,,,,,,,
Papa,,110,g,96.6,2.8,20.9,2.2,0.2
Zanahoria,,15,g,6.1,0.1,1.2,0.1,0.1
Yogurt natural,,7,cc,4.9,0.3,0.5,0.0,0.2
Choclos,,15,g,17.9,0.6,3.4,0.2,0.2
Jugo limón,,2,ml,0.6,0.0,0.1,0.0,0.0
Aceite,,2,ml,17.9,0.0,0.0,0.0,2.0
