Jugo fruta ,,,,,,,,
Manzana,,30,g,18.6,0.1,4.4,0.2,0.1
Azúcar,,5,g,19.9,0.0,5.0,0.0,0.0
,,,,,,,,
Agua,,70,ml,0.0,0.0,0.0,0.0,0.0
TOTAL,,,,38.5,0.1,9.3,0.2,0.1
Jugo fruta natural,,,,,,,,
Plátano,,25,g,23.5,0.3,5.3,0.2,0.1
Kiwi,,10,g,7.5,0.1,1.6,0.2,0.1
Azúcar,,5,g,19.9,0.0,5.0,0.0,0.0
Agua,,80,ml,0.0,0.0,0.0,0.0,0.0
TOTAL,,,,50.9,0.4,11.9,0.3,0.2
Cereal,,,,,,,,
Cereal nartur,,10,g,38.0,0.4,9.0,0.0,0.0
TOTAL,,,,38.0,0.4,9.0,0.0,0.0
Galleta,,,,,,,,
Galletas,,10,g,44.9,0.7,7.4,0.1,1.4
TOTAL,,,,44.9,0.7,7.4,0.1,1.4
Pan integral /huevo rev,,,,,,,,
Pan integral,,15,g,37.5,1.7,7.1,0.3,0.3
Huevo,,12,g,19.2,1.6,0.5,0.0,1.2
Aceite,,0.5,ml,4.5,0.0,0.0,0.0,0.5
TOTAL,,,,61.2,3.3,7.5,0.3,2.0
Pan /huevo revuelto,,,,,,,,
Pan ,,15,g,40.8,1.0,9.0,0.1,0.1
Huevo,,12,g,19.2,1.6,0.5,0.0,1.2
Aceite,,0.5,ml,4.5,0.0,0.0,0.0,0.5
TOTAL,,,,64.5,2.6,9.5,0.1,1.8
Pan /pasta huevo,,,,,,,,
Pan ,,15,g,40.8,1.0,9.0,0.1,0.1
Huevo,,12,g,19.2,1.6,0.5,0.0,1.2
Aceite,,0.5,ml,4.5,0.0,0.0,0.0,0.5
TOTAL,,,,64.5,2.6,9.5,0.1,1.8
Pan integral /palta,,,,,,,,
Pan integral,,15,g,37.5,1.7,7.1,0.3,0.3
Palta,,10,g,19.5,0.1,0.6,0.1,1.9
TOTAL,,,,57.0,1.8,7.6,0.4,2.2
Pan /palta,,,,,,,,
Pan ,,15,g,40.8,1.0,9.0,0.1,0.1
Palta,,10,g,19.5,0.1,0.6,0.1,1.9
TOTAL,,,,60.2,1.1,9.6,0.2,2.0
Leche c/plátano,,,,,,,,
Leche 12%  MG ,,20,g,83.3,6.2,9.2,0.0,2.4
Plátano,,25,g,23.5,0.3,5.3,0.2,0.1
Azúcar,,5,g,19.9,0.0,5.0,0.0,0.0
TOTAL,,,,126.7,6.5,19.5,0.2,2.5
Leche 18% MG ,,,,,,,,
Leche 18%  MG,,24,g,109.0,6.7,10.8,0.0,4.3
TOTAL,,,,109.0,6.7,10.8,0.0,4.3
Pan /margarina,,,,,,,,
Pan ,,15,g,40.8,1.0,9.0,0.1,0.1
Margarina,,3,g,16.5,0.0,0.0,0.0,1.8
TOTAL,,,,57.3,1.0,9.0,0.1,1.9
Panqueque /manjar,,,,,,,,
Harina,,15,g,52.3,1.2,11.5,0.1,0.2
Huevo,,10,g,16.0,1.4,0.4,0.0,1.0
Leche 12%  MG ,,5,g,20.8,1.6,2.3,0.0,0.6
Manjar,,10,g,31.1,0.7,5.4,0.0,0.8
Aceite,,1,ml,9.0,0.0,0.0,0.0,1.0
TOTAL,,,,129.1,4.8,19.6,0.1,3.5
Leche c/cereal dextrinado,,,,,,,,
Leche 12%  MG ,,24,g,99.9,7.4,11.1,0.0,2.9
Nestún,,5,g,18.5,0.3,4.3,0.1,0.0
Agua,,200,ml,0.0,0.0,0.0,0.0,0.0
TOTAL,,,,118.4,7.7,15.3,0.1,2.9
Pan integral /mermelada damasco,,,,,,,,
Pan integral,,15,g,37.5,1.7,7.1,0.3,0.3
Mermelada,,5,g,8.9,0.0,2.2,0.0,0.0
TOTAL,,,,46.4,1.7,9.2,0.3,0.3
Pan /mermelada,,,,,,,,
Pan ,,15,g,40.8,1.0,9.0,0.1,0.1
Mermelada,,7,g,12.4,0.0,3.1,0.0,0.0
TOTAL,,,,53.2,1.0,12.1,0.1,0.1
Pan int /mantequilla s/sal,,,,,,,,
Pan integral,,15,g,37.5,1.7,7.1,0.3,0.3
Mantequilla,,2,g,15.0,0.0,0.0,0.0,1.7
TOTAL,,17,,52.5,1.7,7.1,0.3,2.0
Pan /mantequilla s/sal,,,,,,,,
Pan ,,15,g,40.8,1.0,9.0,0.1,0.1
Mantequilla,,2,g,15.0,0.0,0.0,0.0,1.7
TOTAL,,,,55.8,1.0,9.0,0.1,1.8
Pan integral /tomate,,,,,,,,
Pan integral,,15,g,37.5,1.7,7.1,0.3,0.3
Aceite,,1.5,ml,13.5,0.0,0.0,0.0,1.5
tomate,,15,g,2.9,0.1,0.5,0.1,0.1
TOTAL,,,,53.9,1.8,7.5,0.4,1.9
Pan /tomate,,,,,,,,
Pan ,,15,g,40.8,1.0,9.0,0.1,0.1
Aceite,,1.5,ml,13.5,0.0,0.0,0.0,1.5
tomate,,15,g,2.9,0.1,0.5,0.1,0.1
TOTAL,,,,57.2,1.1,9.5,0.2,1.7
Pan /mermelada mora,,,,,,,,
Pan ,,15,g,40.8,1.0,9.0,0.1,0.1
Mermelada,,5,g,8.9,0.0,2.2,0.0,0.0
TOTAL,,,,49.7,1.0,11.2,0.1,0.1
Pan /manjar,,,,,,,,
Pan ,,15,g,40.8,1.0,9.0,0.1,0.1
Manjar,,5,g,15.5,0.3,2.7,0.0,0.4
TOTAL,,,,56.3,1.3,11.7,0.1,0.5
Pan /mermelada damasco,,,,,,,,
Pan ,,15,g,40.8,1.0,9.0,0.1,0.1
Mermelada,,5,g,8.9,0.0,2.2,0.0,0.0
TOTAL,,,,49.7,1.0,11.2,0.1,0.1
Pan integral /jamón,,,,,,,,
Pan integral,,15,g,37.5,1.7,7.1,0.3,0.3
Jamón,,7,g,8.6,1.3,0.0,0.0,0.4
TOTAL,,,,46.1,3.0,7.1,0.3,0.7
Pan /jamón,,,,,,,,
Pan ,,15,g,40.8,1.0,9.0,0.1,0.1
Jamón,,7,g,8.6,1.3,0.0,0.0,0.4
TOTAL,,,,49.4,2.3,9.0,0.1,0.5
Pan /dulce membrillo,,,,,,,,
Pan ,,15,g,40.8,1.0,9.0,0.1,0.1
Dulce membrillo,,7,g,17.2,0.0,4.2,0.1,0.0
TOTAL,,,,58.0,1.0,13.2,0.2,0.1
Jugo /galletas (1),,,,,,,,
Jugo naranja,,80,cc,37.0,0.6,8.3,0.3,0.2
Galletas,,5,g,22.5,0.4,3.7,0.0,0.7
TOTAL,,,,59.4,0.9,12.0,0.4,0.9
Pan integral /queso,,,,,,,,
Pan integral,,15,g,37.5,1.7,7.1,0.3,0.3
Queso gauda,,10,g,35.1,2.5,0.5,0.0,2.6
TOTAL,,,,72.6,4.1,7.6,0.3,2.9
Pan /queso,,,,,,,,
Pan ,,15,g,40.8,1.0,9.0,0.1,0.1
Queso gauda,,10,g,35.1,2.5,0.5,0.0,2.6
TOTAL,,,,75.9,3.5,9.5,0.1,2.7
Pan integral /quesillo,,,,,,,,
Pan integral,,15,g,37.5,1.7,7.1,0.3,0.3
Quesillo,,10,g,10.8,1.6,0.3,0.0,0.3
TOTAL,,,,48.3,3.3,7.4,0.3,0.6
Pan /queso fresco,,,,,,,,
Pan ,,15,g,40.8,1.0,9.0,0.1,0.1
Quesillo,,10,g,10.8,1.6,0.3,0.0,0.3
TOTAL,,,,51.6,2.6,9.3,0.1,0.4
Jugo. Queque,,,,,,,,
Queque,,15,g,53.3,1.5,11.4,0.4,0.2
Jugo naranja,,80,ml,37.0,0.6,8.3,0.3,0.2
TOTAL,,,,90.3,2.1,19.8,0.7,0.3
Mix frutos secos /cereal,,,,,,,,
Cereal nartur,,5,g,19.0,0.2,4.5,0.0,0.0
Nuez,,2,g,13.5,0.3,0.2,0.1,1.3
Almendras,,2,g,12.5,0.4,0.4,0.2,1.0
Pasas,,2,g,5.8,0.0,1.4,0.0,0.0
TOTAL,,,,50.8,0.9,6.5,0.4,2.4
Mix cereal y pasas,,,,,,,,
Cereal nartur,,10,g,38.0,0.4,9.0,0.0,0.0
Pasas,,5,g,14.4,0.1,3.4,0.1,0.0
TOTAL,,,,52.4,0.5,12.4,0.1,0.1
Queque casero,,,,,,,,
Harina,,250,g,871.0,20.0,191.0,1.0,3.0
Azúcar,,200,g,796.0,0.0,199.0,0.0,0.0
Aceite,,50,cc,448.7,0.0,0.0,0.0,49.9
Huevo,,100,g,160.0,13.5,4.0,0.0,10.0
Polvos hornear,,,g,0.0,0.0,0.0,0.0,0.0
Leche 26%  MG,,20,g,97.2,5.0,7.6,0.0,5.2
TOTAL,,,,2372.9,38.5,401.6,1.0,68.1
Pan /palta tomate,,,,,,,,
Pan ,,15,g,40.8,1.0,9.0,0.1,0.1
Palta,,7,g,13.6,0.1,0.4,0.1,1.3
Tomate,,10,g,2.0,0.1,0.3,0.1,0.0
TOTAL,,,,56.4,1.1,9.7,0.2,1.4
Pan integral /huevo lechuga,,,,,,,,
Pan integral,,15,g,37.5,1.7,7.1,0.3,0.3
Huevo,,15,g,24.0,2.0,0.6,0.0,1.5
Lechuga,,7,g,1.3,0.1,0.2,0.0,0.0
TOTAL,,,,62.8,3.8,7.8,0.3,1.8
Pan /jamon tomate,,,,,,,,
Pan ,,15,g,40.8,1.0,9.0,0.1,0.1
Jamón,,7,g,8.6,1.3,0.0,0.0,0.4
Tomate,,10,g,2.0,0.1,0.3,0.1,0.0
TOTAL,,,,51.4,2.4,9.3,0.2,0.5
Pan /queso fresco tomate,,,,,,,,
Pan ,,15,g,40.8,1.0,9.0,0.1,0.1
queso fresco,,7,g,21.4,1.4,0.2,0.0,1.7
Tomate,,10,g,2.0,0.1,0.3,0.1,0.0
TOTAL,,,,64.2,2.4,9.5,0.2,1.8
