Jugo fruta /nestún,,,,,,,,
Jugo naranja,,40,ml,18.5,0.3,4.2,0.2,0.1
,,,,,,,,
Nestún,,10,g,36.9,0.6,8.5,0.2,0.1
Agua,,40,ml,0.0,0.0,0.0,0.0,0.0
TOTAL,,,,55.4,0.9,12.7,0.3,0.1
Jugo fruta natural.,,,,,,,,
Plátano,,30,g,28.2,0.4,6.4,0.2,0.1
Kiwi,,15,g,11.2,0.1,2.5,0.3,0.1
Azúcar,,5,g,19.9,0.0,5.0,0.0,0.0
Agua,,100,g,0.0,0.0,0.0,0.0,0.0
TOTAL,,,,59.3,0.5,13.8,0.5,0.2
Cereal.,,,,,,,,
Cereal nartur,,20,g,76.0,0.9,17.9,0.0,0.1
TOTAL,,,,76.0,0.9,17.9,0.0,0.1
Galletas,,,,,,,,
Galletas,,20,g,89.8,1.5,14.7,0.2,2.8
TOTAL,,,,89.8,1.5,14.7,0.2,2.8
Pan integral /huevo rev.,,,,,,,,
Pan integral,,25,g,62.5,2.8,11.8,0.5,0.5
Huevo,,20,g,32.0,2.7,0.8,0.0,2.0
Aceite,,0.5,ml,4.5,0.0,0.0,0.0,0.5
TOTAL,,,,99.0,5.5,12.6,0.5,3.0
Pan /huevo revuelto.,,,,,,,,
Pan ,,25,g,68.0,1.6,15.0,0.2,0.2
Huevo,,20,g,32.0,2.7,0.8,0.0,2.0
Aceite,,0.5,ml,4.5,0.0,0.0,0.0,0.5
TOTAL,,,,104.5,4.3,15.8,0.2,2.7
Pan /pasta huevo.,,,,,,,,
Pan ,,25,g,68.0,1.6,15.0,0.2,0.2
Huevo,,20,g,32.0,2.7,0.8,0.0,2.0
Aceite,,0.5,ml,4.5,0.0,0.0,0.0,0.5
TOTAL,,,,104.5,4.3,15.8,0.2,2.7
Pan integral /palta.,,,,,,,,
Pan integral,,25,g,62.5,2.8,11.8,0.5,0.5
Palta,,15,g,29.2,0.2,0.8,0.2,2.8
TOTAL,,,,91.7,2.9,12.6,0.7,3.3
Pan /palta.,,,,,,,,
Pan ,,25,g,68.0,1.6,15.0,0.2,0.2
Palta,,15,g,29.2,0.2,0.8,0.2,2.8
TOTAL,,,,97.2,1.8,15.8,0.4,3.0
Leche 26% MG,,,,,,,,
Leche 26%  MG,,24,g,116.6,6.0,9.1,0.0,6.2
,,,,,,,,
,,,,,,,,
TOTAL,,,,116.6,6.0,9.1,0.0,6.2
Leche 12% MG. ,,,,,,,,
Leche 12%  MG ,,24,g,99.9,7.4,11.1,0.0,2.9
TOTAL,,,,99.9,7.4,11.1,0.0,2.9
Pan /margarina.,,,,,,,,
Pan ,,25,g,68.0,1.6,15.0,0.2,0.2
Margarina,,5,g,27.5,0.0,0.0,0.0,3.0
TOTAL,,,,95.5,1.6,15.0,0.2,3.2
Panqueque c/mermelada,,,,,,,,
Harina,,15,g,52.3,1.2,11.5,0.1,0.2
Huevo,,10,g,16.0,1.4,0.4,0.0,1.0
Leche 12%  MG ,,5,g,20.8,1.6,2.3,0.0,0.6
Mermelada,,10,g,17.7,0.0,4.4,0.1,0.0
Aceite,,1,ml,9.0,0.0,0.0,0.0,1.0
TOTAL,,,,115.8,4.1,18.5,0.1,2.8
Leche c/sabor,,,,,,,,
Leche 12%  MG ,,24,g,99.9,7.4,11.1,0.0,2.9
Saborizante,,5,g,19.9,0.0,5.0,0.0,0.0
Agua,,200,ml,0.0,0.0,0.0,0.0,0.0
TOTAL,,,,119.8,7.4,16.0,0.0,2.9
Pan integral /mermelada damasco,,,,,,,,
Pan integral,,25,g,62.5,2.8,11.8,0.5,0.5
Mermelada,,7,g,12.4,0.0,3.1,0.0,0.0
TOTAL,,,,74.9,2.8,14.8,0.5,0.5
Pan /mermelada.,,,,,,,,
Pan ,,25,g,68.0,1.6,15.0,0.2,0.2
Mermelada,,10,g,17.7,0.0,4.4,0.1,0.0
TOTAL,,,,85.7,1.6,19.4,0.2,0.2
Pan int /mantequilla s/sal.,,,,,,,,
Pan integral,,25,g,62.5,2.8,11.8,0.5,0.5
Mantequilla,,4,g,30.0,0.0,0.0,0.0,3.3
TOTAL,,29,,92.5,2.8,11.8,0.5,3.8
Pan /mantequilla s/sal.,,,,,,,,
Pan ,,25,g,68.0,1.6,15.0,0.2,0.2
Mantequilla,,3,g,22.5,0.0,0.0,0.0,2.5
TOTAL,,,,90.5,1.6,15.0,0.2,2.7
Pan integral /tomate.,,,,,,,,
Pan integral,,25,g,62.5,2.8,11.8,0.5,0.5
Aceite,,2,ml,17.9,0.0,0.0,0.0,2.0
tomate,,25,g,4.9,0.2,0.8,0.2,0.1
TOTAL,,,,85.3,3.0,12.6,0.6,2.6
Pan /tomate.,,,,,,,,
Pan ,,25,g,68.0,1.6,15.0,0.2,0.2
Aceite,,2,ml,17.9,0.0,0.0,0.0,2.0
tomate,,25,g,4.9,0.2,0.8,0.2,0.1
TOTAL,,,,90.8,1.8,15.8,0.3,2.3
Pan /mermelada mora.,,,,,,,,
Pan ,,25,g,68.0,1.6,15.0,0.2,0.2
Mermelada,,7,g,12.4,0.0,3.1,0.0,0.0
TOTAL,,,,80.4,1.6,18.1,0.2,0.2
Pan /manjar.,,,,,,,,
Pan ,,25,g,68.0,1.6,15.0,0.2,0.2
Manjar,,7,g,21.7,0.5,3.8,0.0,0.5
TOTAL,,,,89.7,2.1,18.8,0.2,0.7
Pan /mermelada damasco.,,,,,,,,
Pan ,,25,g,68.0,1.6,15.0,0.2,0.2
Mermelada,,7,g,12.4,0.0,3.1,0.0,0.0
TOTAL,,,,80.4,1.6,18.1,0.2,0.2
Pan integral /jamón.,,,,,,,,
Pan integral,,25,g,62.5,2.8,11.8,0.5,0.5
Jamón,,10,g,12.3,1.9,0.0,0.0,0.5
TOTAL,,,,74.8,4.6,11.8,0.5,1.0
Pan /jamón.,,,,,,,,
Pan ,,25,g,68.0,1.6,15.0,0.2,0.2
Jamón,,10,g,12.3,1.9,0.0,0.0,0.5
TOTAL,,,,80.3,3.5,15.0,0.2,0.7
Pan /dulce membrillo.,,,,,,,,
Pan ,,25,g,68.0,1.6,15.0,0.2,0.2
Dulce membrillo,,10,g,24.6,0.0,6.0,0.1,0.0
TOTAL,,,,92.5,1.6,21.0,0.2,0.2
Jugo /galletas (3),,,,,,,,
Jugo naranja,,100,g,46.2,0.7,10.4,0.4,0.2
Galletas,,15,g,67.4,1.1,11.1,0.1,2.1
TOTAL,,,,113.6,1.8,21.5,0.5,2.3
Pan integral /queso.,,,,,,,,
Pan integral,,25,g,62.5,2.8,11.8,0.5,0.5
Queso gauda,,15,g,52.6,3.7,0.8,0.0,3.8
TOTAL,,,,115.1,6.5,12.5,0.5,4.3
Pan /queso.,,,,,,,,
Pan ,,25,g,68.0,1.6,15.0,0.2,0.2
Queso gauda,,15,g,52.6,3.7,0.8,0.0,3.8
TOTAL,,,,120.6,5.3,15.8,0.2,4.0
Pan integral /quesillo.,,,,,,,,
Pan integral,,25,g,62.5,2.8,11.8,0.5,0.5
Quesillo,,15,g,16.2,2.5,0.5,0.0,0.5
TOTAL,,,,78.7,5.2,12.2,0.5,1.0
Pan /queso fresco.,,,,,,,,
Pan ,,25,g,68.0,1.6,15.0,0.2,0.2
Quesillo,,15,g,16.2,2.5,0.5,0.0,0.5
TOTAL,,,,84.1,4.1,15.5,0.2,0.7
Jugo. Queque.,,,,,,,,
Queque,,25,g,88.9,2.6,19.1,0.7,0.3
Jugo naranja,,100,ml,46.2,0.7,10.4,0.4,0.2
TOTAL,,,,135.1,3.3,29.5,1.1,0.5
Mix frutos secos /cereal.,,,,,,,,
Cereal nartur,,10,g,38.0,0.4,9.0,0.0,0.0
Nuez,,4,g,27.1,0.6,0.4,0.2,2.6
Almendras,,4,g,25.1,0.8,0.8,0.5,2.1
Pasas,,5,g,14.4,0.1,3.4,0.1,0.0
TOTAL,,,,104.6,1.9,13.7,0.8,4.7
