Pavo arvejado,,,,,,,,
Aceite,,3,ml,26.9,0,0,0,3
Arvejas,,10,g,8.4,0.6,1.4,0.3,0.1
Cebolla,,7,g,3,0.1,0.7,0,0
Pavo,,40,g,49,8.8,0.5,0,1.3
Zanahoria,,7,g,2.8,0.1,0.6,0,0
TOTAL,,,,90.2,9.5,3.1,0.4,4.4
Pollo en salsa,,,,,,,,
Aceite,,3,ml,26.9,0,0,0,3
Cebolla,,7,g,3,0.1,0.7,0,0
Pollo,,40,g,52.1,8.9,0.7,0,1.5
Salsa tomate,,10,g,4.8,0.1,1,0,0
Zanahoria,,7,g,2.8,0.1,0.6,0,0
TOTAL,,,,89.6,9.1,2.9,0.1,4.6
Pollo a la jardinera,,,,,,,,
Aceite,,3,ml,26.9,0,3,0,0
Arvejas,,5,g,4.2,0.3,0,0.1,0.7
Cebolla,,5,g,2.2,0,0,0,0.5
Choclos,,5,g,6,0.2,0.1,0.1,1.1
Pollo,,40,g,52.1,8.9,1.5,0,0.7
Porotos verdes,,5,g,1.5,0.1,0,0.1,0.2
Zanahoria,,5,g,2,0,0,0,0.4
TOTAL,,,,91.3,9.5,4.6,0.2,3
Lasaña /ss blanca pavo,,,,,,,,
Aceite,,4,ml,35.9,0,0,0,4
Cebolla,,10,g,4.3,0.1,1,0.1,0
Lasaña,,25,g,87.5,3.1,18.7,0.1,0.1
Leche 12%  MG ,,4,g,16.7,1.2,1.8,0,0.5
Maicena,,3,g,10.5,0,2.6,0,0
Margarina,,2,g,11,0,0,0,1.2
Pavo,,40,g,49,8.8,0.5,0,1.3
Queso gauda,,10,g,35.1,2.5,0.5,0,2.6
Zanahoria,,10,g,4.1,0.1,0.8,0.1,0.1
TOTAL,,,,254,15.8,25.9,0.2,9.7
Lasaña /ss blanca pollo,,,,,,,,
Aceite,,4,ml,35.9,0,0,0,4
Cebolla,,10,g,4.3,0.1,1,0.1,0
Lasaña,,25,g,87.5,3.1,18.7,0.1,0.1
Leche 12%  MG ,,4,g,16.7,1.2,1.8,0,0.5
Maicena,,3,g,10.5,0,2.6,0,0
Margarina,,2,g,11,0,0,0,1.2
Pollo,,40,g,52.1,8.9,0.7,0,1.5
Queso rallado,,1,g,4.6,0.3,0.1,0,0.3
Zanahoria,,10,g,4.1,0.1,0.8,0.1,0.1
TOTAL,,,,226.6,13.7,25.6,0.2,7.7
Caracolitos al huevo,,,,,,,,
Aceite,,3,ml,26.9,0,0,0,3
Coditos,,35,g,122.5,4.3,26.1,0.1,0.1
Huevo,,15,g,24,2,0.6,0,1.5
Leche 12%  MG ,,2,g,8.3,0.6,0.9,0,0.2
TOTAL,,,,181.7,6.9,27.6,0.1,4.8
Lasaña /ss boloñesa pavo,,,,,,,,
Aceite,,4,ml,35.9,0,0,0,4
Cebolla,,10,g,4.3,0.1,1,0.1,0
Lasaña,,25,g,0,0,0,0,0
Leche 12%  MG ,,2,g,8.3,0.6,0.9,0,0.2
Maicena,,2,g,7,0,1.7,0,0
Pavo,,40,g,49,8.8,0.5,0,1.3
Queso rallado,,1,g,4.6,0.3,0.1,0,0.3
Salsa tomate,,10,g,4.8,0.1,1,0,0
Zanahoria,,10,g,4.1,0.1,0.8,0.1,0.1
TOTAL,,,,118,10,6,0.2,6
Corbatitas al gratín /pavo,,,,,,,,
Aceite,,3,ml,26.9,0,0,0,3
Corbatitas,,35,g,0,0,0,0,0
Huevo,,15,g,24,2,0.6,0,1.5
Leche 12%  MG ,,2,g,8.3,0.6,0.9,0,0.2
Pavo,,40,g,49,8.8,0.5,0,1.3
Queso rallado,,1,g,4.6,0.3,0.1,0,0.3
TOTAL,,,,112.9,11.8,2.1,0,6.4
Corbatitas al gratín /pollo,,,,,,,,
Aceite,,3,ml,26.9,0,0,0,3
Corbatitas,,35,g,0,0,0,0,0
Huevo,,15,g,24,2,0.6,0,1.5
Leche 12%  MG ,,2,g,8.3,0.6,0.9,0,0.2
Pollo,,40,g,52.1,8.9,0.7,0,1.5
Queso rallado,,1,g,4.6,0.3,0.1,0,0.3
TOTAL,,,,115.9,11.9,2.3,0,6.6
Fideos al huevo,,,,,,,,
Aceite,,3,ml,26.9,0,0,0,3
Corbatitas,,35,g,122.5,4.3,26.1,0.1,0.1
Huevo,,15,g,24,2,0.6,0,1.5
Leche 12%  MG ,,2,g,8.3,0.6,0.9,0,0.2
TOTAL,,,,181.7,6.9,27.6,0.1,4.8
Corbatitas al huevo,,,,,,,,
Aceite,,3,ml,26.9,0,0,0,3
Corbatitas,,35,g,122.5,4.3,26.1,0.1,0.1
Huevo,,15,g,24,2,0.6,0,1.5
Leche 12%  MG ,,2,g,8.3,0.6,0.9,0,0.2
TOTAL,,,,181.7,6.9,27.6,0.1,4.8
Albóndiga pavo en salsa,,,,,,,,
Aceite,,3,ml,26.9,0,0,0,3
Cebolla,,7,g,3,0.1,0.7,0,0
Huevo,,15,g,24,2,0.6,0,1.5
Pan,,5,g,0,0,0,0,0
Pavo,,40,g,49,8.8,0.5,0,1.3
Salsa tomate,,10,g,4.8,0.1,1,0,0
Zanahoria,,7,g,2.8,0.1,0.6,0,0
TOTAL,,87,,110.6,11,3.3,0.1,5.9
Pollo a la crema,,,,,,,,
Pollo,,40,g,52.1,8.9,0.7,0,1.5
Aceite,,3,cc,26.9,0,0,0,3
Cebolla,,7,g,3,0.1,0.7,0,0
Crema leche,,5,g,12.5,0.1,0.2,0,1.3
Zanahoria,,7,g,2.8,0.1,0.6,0,0
TOTAL,,62,,97.3,9.2,2.1,0.1,5.8
Pavo,,,,,,,,
