Pollo arvejado,,,,,,,,
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
Arvejas,,10,g,8.4,0.6,1.4,0.3,0.1
Cebolla,,7,g,3.0,0.1,0.7,0.0,0.0
Pollo,,40,g,52.1,8.9,0.7,0.0,1.5
Zanahoria,,7,g,2.8,0.1,0.6,0.0,0.0
TOTAL,,,,93.3,9.6,3.3,0.4,4.6
Pavo en salsa,,,,,,,,
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
Cebolla,,7,g,3.0,0.1,0.7,0.0,0.0
Pavo,,40,g,49.0,8.8,0.5,0.0,1.3
Salsa tomate,,10,g,4.8,0.1,1.0,0.0,0.0
Zanahoria,,7,g,2.8,0.1,0.6,0.0,0.0
TOTAL,,,,86.6,9.0,2.7,0.1,4.4
Pavo a la jardinera,,,,,,,,
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
Arvejas,,5,g,4.2,0.3,0.7,0.1,0.0
Cebolla,,5,g,2.2,0.0,0.5,0.0,0.0
Choclos,,5,g,6.0,0.2,1.1,0.1,0.1
Pavo,,40,g,49.0,8.8,0.5,0.0,1.3
Porotos verdes,,5,g,1.5,0.1,0.2,0.1,0.0
Zanahoria,,5,g,2.0,0.0,0.4,0.0,0.0
TOTAL,,,,88.3,9.3,2.8,0.2,4.4
Lasaña /ss blanca pavo.,,,,,,,,
Aceite,,5,ml,44.9,0.0,0.0,0.0,5.0
Cebolla,,15,g,6.5,0.1,1.4,0.1,0.0
Lasaña,,35,g,122.5,4.3,26.1,0.1,0.1
Leche 12%  MG ,,6,g,25.0,1.9,2.8,0.0,0.7
Maicena,,3,g,10.5,0.0,2.6,0.0,0.0
Margarina,,3,g,16.5,0.0,0.0,0.0,1.8
Pavo,,50,g,61.3,11.0,0.6,0.0,1.7
Queso gauda,,15,g,52.6,3.7,0.8,0.0,3.8
Zanahoria,,15,g,6.1,0.1,1.2,0.1,0.1
TOTAL,,,,345.8,21.2,35.5,0.3,13.2
Lasaña /ss blanca pollo.,,,,,,,,
Aceite,,5,ml,44.9,0.0,0.0,0.0,5.0
Cebolla,,15,g,6.5,0.1,1.4,0.1,0.0
Lasaña,,35,g,122.5,4.3,26.1,0.1,0.1
Leche 12%  MG ,,6,g,25.0,1.9,2.8,0.0,0.7
Maicena,,3,g,10.5,0.0,2.6,0.0,0.0
Margarina,,3,g,16.5,0.0,0.0,0.0,1.8
Pollo,,40,g,52.1,8.9,0.7,0.0,1.5
Queso rallado,,2,g,9.2,0.6,0.2,0.0,0.7
Zanahoria,,15,g,6.1,0.1,1.2,0.1,0.1
TOTAL,,,,293.2,16.0,35.0,0.3,9.9
Caracolitos al huevo.,,,,,,,,
Aceite,,4,ml,35.9,0.0,0.0,0.0,4.0
Coditos,,45,g,157.5,5.5,33.6,0.1,0.1
Huevo,,20,g,32.0,2.7,0.8,0.0,2.0
Leche 12%  MG ,,3,g,12.5,0.9,1.4,0.0,0.4
TOTAL,,,,237.8,9.1,35.8,0.1,6.5
Lasaña /ss boloñesa pavo.,,,,,,,,
Aceite,,5,ml,44.9,0.0,0.0,0.0,5.0
Cebolla,,15,g,6.5,0.1,1.4,0.1,0.0
Lasaña,,35,g,0.0,0.0,0.0,0.0,0.0
Leche 12%  MG ,,3,g,12.5,0.9,1.4,0.0,0.4
Maicena,,3,g,10.5,0.0,2.6,0.0,0.0
Pollo,,40,g,52.1,8.9,0.7,0.0,1.5
Queso rallado,,2,g,9.2,0.6,0.2,0.0,0.7
