Ens tomate.,,,,,,,,
Tomate,,60,g,11.8,0.5,1.9,0.4,0.2
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
TOTAL,,,,38.7,0.5,1.9,0.4,3.2
Ens tomate porotos verdes.,,,,,,,,
Tomate,,40,g,7.8,0.3,1.3,0.2,0.2
Porotos verdes,,20,g,6.1,0.5,0.9,0.3,0.1
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
TOTAL,,,,40.9,0.8,2.2,0.5,3.2
Ens pepino tomate.,,,,,,,,
Tomate,,40,g,7.8,0.3,1.3,0.2,0.2
Pepino,,20,g,5.5,0.1,1.3,0.1,0.0
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
TOTAL,,,,40.3,0.4,2.5,0.3,3.2
Ens repollo.,,,,,,,,
Repollo,,60,g,18.4,1.1,3.1,1.2,0.2
Jugo limón,,3,ml,0.9,0.0,0.2,0.0,0.0
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
TOTAL,,,,46.2,1.1,3.3,1.2,3.2
Ens repollo zanahoria.,,,,,,,,
Repollo,,30,g,9.2,0.5,1.6,0.6,0.1
Zanahoria,,30,g,12.2,0.3,2.4,0.2,0.2
Jugo limón,,3,ml,0.9,0.0,0.2,0.0,0.0
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
TOTAL,,,,49.2,0.8,4.2,0.8,3.2
Ens repollo palta.,,,,,,,,
Repollo,,30,g,9.2,0.5,1.6,0.6,0.1
Palta,,30,g,58.4,0.4,1.7,0.4,5.6
Jugo limón,,3,ml,0.9,0.0,0.2,0.0,0.0
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
TOTAL,,,,95.4,0.9,3.4,1.0,8.7
Ens betarraga.,,,,,,,,
Betarraga,,50,g,20.5,1.0,4.0,0.7,0.1
Jugo limón,,3,ml,0.9,0.0,0.2,0.0,0.0
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
TOTAL,,56,,48.3,1.0,4.2,0.7,3.1
Ens choclos.,,,,,,,,
Choclos,,50,g,59.7,2.1,11.4,0.5,0.7
Jugo limón,,3,ml,0.9,0.0,0.2,0.0,0.0
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
TOTAL,,,,87.5,2.1,11.6,0.5,3.6
Ens apio.,,,,,,,,
Apio,,60,g,10.9,0.4,2.0,0.3,0.1
Jugo limón,,3,ml,0.9,0.0,0.2,0.0,0.0
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
TOTAL,,66,,38.7,0.4,2.2,0.3,3.1
Ens apio palta.,,,,,,,,
Apio,,30,g,5.5,0.2,1.0,0.2,0.1
Palta,,30,g,58.4,0.4,1.7,0.4,5.6
Jugo limón,,3,ml,0.9,0.0,0.2,0.0,0.0
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
TOTAL,,,,91.7,0.6,2.9,0.6,8.6
Ens arvejas.,,,,,,,,
Arvejas,,60,g,50.5,3.5,8.3,1.7,0.4
Jugo limón,,3,ml,0.9,0.0,0.2,0.0,0.0
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
TOTAL,,,,78.3,3.6,8.5,1.7,3.4
Ens porotos verdes.,,,,,,,,
Porotos verdes,,60,g,18.4,1.4,2.8,0.9,0.2
Jugo limón,,3,ml,0.9,0.0,0.2,0.0,0.0
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
TOTAL,,,,46.2,1.4,3.0,0.9,3.2
Ens espinaca cocida.,,,,,,,,
Espinacas,,60,g,21.4,1.1,3.2,0.4,0.5
Jugo limón,,3,ml,0.9,0.0,0.2,0.0,0.0
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
TOTAL,,,,49.2,1.1,3.4,0.4,3.5
Ens pepino.,,,,,,,,
Pepino,,60,g,16.6,0.2,3.8,0.3,0.1
Jugo limón,,3,ml,0.9,0.0,0.2,0.0,0.0
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
TOTAL,,66,,44.4,0.3,4.0,0.3,3.1
Ens espárragos.,,,,,,,,
Espárragos,,60,g,9.2,1.1,1.0,0.5,0.1
Jugo limón,,3,ml,0.9,0.0,0.2,0.0,0.0
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
TOTAL,,,,37.1,1.1,1.2,0.6,3.1
Ens zanahoria.,,,,,,,,
Zanahoria,,60,g,24.3,0.5,4.9,0.4,0.3
Jugo limón,,3,ml,0.9,0.0,0.2,0.0,0.0
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
TOTAL,,,,52.1,0.6,5.1,0.4,3.3
Ens brócoli.,,,,,,,,
Brócoli,,60,g,24.4,2.2,3.5,0.9,0.2
Jugo limón,,3,ml,0.9,0.0,0.2,0.0,0.0
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
TOTAL,,,,52.2,2.2,3.7,0.9,3.2
Ens brócoli choclos.,,,,,,,,
Brócoli,,30,g,12.2,1.1,1.8,0.5,0.1
Choclos,,30,g,35.8,1.3,6.8,0.3,0.4
Jugo limón,,3,ml,0.9,0.0,0.2,0.0,0.0
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
TOTAL,,66,,75.8,2.4,8.8,0.8,3.5
Ens coliflor tomate.,,,,,,,,
Coliflor,,30,g,11.8,0.8,1.7,0.3,0.2
Tomate,,30,g,5.9,0.2,1.0,0.2,0.1
Jugo limón,,3,ml,0.9,0.0,0.2,0.0,0.0
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
TOTAL,,,,45.5,1.1,2.9,0.5,3.3
Ens coliflor.,,,,,,,,
Coliflor,,60,g,23.6,1.6,3.5,0.7,0.4
Jugo limón,,3,ml,0.9,0.0,0.2,0.0,0.0
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
TOTAL,,66,,51.5,1.6,3.7,0.7,3.4
Alcachofa /ss limoneta.,,,,,,,,
Alcachofa,,50,g,28.6,0.8,6.0,0.4,0.2
Jugo limón,,5,g,1.5,0.0,0.3,0.0,0.0
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
TOTAL,,58,,57.0,0.8,6.3,0.4,3.2
Ens lechuga rúcula.,,,,,,,,
Lechuga,,20,g,3.8,0.3,0.4,0.1,0.1
