Salsa atún,,,,,,,,
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
Atún al agua,,40,g,46.6,10.4,0.0,0.0,0.6
Cebolla,,10,g,4.3,0.1,1.0,0.1,0.0
Zanahoria,,10,g,4.1,0.1,0.8,0.1,0.1
TOTAL,,,,81.9,10.6,1.8,0.1,3.6
Reineta al jugo,,,,,,,,
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
Reineta,,50,g,40.6,9.7,0.2,0.0,0.2
Cebolla,,5,g,2.2,0.0,0.5,0.0,0.0
Zanahoria,,5,g,2.0,0.0,0.4,0.0,0.0
TOTAL,,,,71.7,9.7,1.0,0.1,3.2
Hamburguesa atún,,,,,,,,
Aceite,,1,ml,9.0,0.0,0.0,0.0,1.0
Harina,,5,g,17.4,0.4,3.8,0.0,0.1
Huevo,,15,g,24.0,2.0,0.6,0.0,1.5
Jurel env,,40,g,58.0,9.9,0.1,0.0,2.0
TOTAL,,,,108.4,12.3,4.5,0.0,4.6
Hamburguesa pescado casera,,,,,,,,
Aceite,,2,ml,17.9,0.0,0.0,0.0,2.0
Harina,,3,g,10.5,0.2,2.3,0.0,0.0
Huevo,,10,g,16.0,1.4,0.4,0.0,1.0
Jurel env,,40,g,58.0,9.9,0.1,0.0,2.0
TOTAL,,,,102.4,11.5,2.8,0.0,5.0
Pescado al jugo,,,,,,,,
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
Cebolla,,10,g,4.3,0.1,1.0,0.1,0.0
Jurel env,,40,g,58.0,9.9,0.1,0.0,2.0
Zanahoria,,10,g,4.1,0.1,0.8,0.1,0.1
TOTAL,,,,93.3,10.1,1.9,0.1,5.1
Pescado frito,,,,,,,,
Merluza,,40,g,29.6,6.9,0.1,0.0,0.2
Aceite,,10,ml,89.7,0.0,0.0,0.0,10.0
Harina,,3,g,10.5,0.2,2.3,0.0,0.0
Huevo,,7,g,11.2,0.9,0.3,0.0,0.7
Leche 12%  MG ,,3,g,12.5,0.9,1.4,0.0,0.4
TOTAL,,,,153.5,9.0,4.1,0.0,11.2
Caldillo pescado,,,,,,,,
Aceite,,4,ml,35.9,0.0,0.0,0.0,4.0
Arroz,,7,g,24.6,0.4,5.6,0.0,0.1
Cebolla,,10,g,4.3,0.1,1.0,0.1,0.0
Huevo,,5,g,8.0,0.7,0.2,0.0,0.5
Merluza,,30,g,22.2,5.2,0.1,0.0,0.1
Papa,,120,g,105.4,3.0,22.8,2.4,0.2
Zanahoria,,10,g,4.1,0.1,0.8,0.1,0.1
TOTAL,,,,204.5,9.5,30.4,2.6,5.0
Croqueta jurel,,,,,,,,
Aceite,,1,ml,9.0,0.0,0.0,0.0,1.0
Harina,,5,g,17.4,0.4,3.8,0.0,0.1
Cilantro,,0,g,0.0,0.0,0.0,0.0,0.0
Huevo,,15,g,24.0,2.0,0.6,0.0,1.5
Jurel env,,40,g,58.0,9.9,0.1,0.0,2.0
TOTAL,,,,108.4,12.3,4.5,0.0,4.6
Croqueta atún,,,,,,,,
