Lasaña de zapallo italiano,,,,,,,,
Aceite,,4,ml,35.9,0.0,0.0,0.0,4.0
Cebolla,,15,g,6.5,0.1,1.4,0.1,0.0
Vacuno,,40,g,51.8,9.4,0.7,0.0,1.2
Harina,,4,g,13.9,0.3,3.1,0.0,0.0
Leche 12%  MG ,,5,g,20.8,1.6,2.3,0.0,0.6
Queso gauda,,10,g,35.1,2.5,0.5,0.0,2.6
Salsa tomate,,15,g,7.1,0.2,1.5,0.1,0.1
Zanahoria,,15,g,6.1,0.1,1.2,0.1,0.1
Zapallo italiano,,120,g,20.5,1.6,2.8,0.7,0.4
TOTAL,,,,197.8,15.8,13.5,1.0,9.0
Lasaña vegetariana,,,,,,,,
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
Cebolla,,10,g,4.3,0.1,1.0,0.1,0.0
Espinacas,,30,g,10.7,0.5,1.6,0.2,0.2
Harina,,4,g,13.9,0.3,3.1,0.0,0.0
Lasaña,,25,g,87.5,3.1,18.7,0.1,0.1
Leche 12%  MG ,,5,g,20.8,1.6,2.3,0.0,0.6
Queso gauda,,10,g,35.1,2.5,0.5,0.0,2.6
Tomate,,40,g,7.8,0.3,1.3,0.2,0.2
Zanahoria,,10,g,4.1,0.1,0.8,0.1,0.1
Zapallo italiano,,40,g,6.8,0.5,0.9,0.2,0.1
TOTAL,,177,,218.0,9.0,30.1,0.9,6.9
Fideos a la jardinera /huevo,,,,,,,,
Aceite,,3,ml,26.9,0.0,0.8,0.0,3.0
Arvejas,,7,g,5.9,0.4,1.0,0.2,0.0
Cebolla,,7,g,3.0,0.1,2.2,0.0,0.0
Choclos,,7,g,8.4,0.3,1.8,0.1,0.1
Corbatitas,,35,g,122.5,4.3,26.1,0.1,0.1
Huevo,,25,g,40.0,3.4,1.0,0.0,2.5
Porotos verdes,,7,g,2.1,0.2,2.6,0.1,0.0
Zanahoria,,7,g,2.8,0.1,2.0,0.0,0.0
TOTAL,,,,211.7,8.6,37.5,0.5,5.8
Fideos a la jardinera /pollo,,,,,,,,
Aceite,,3,ml,26.9,0.0,0.8,0.0,3.0
Arvejas,,7,g,5.9,0.4,1.0,0.2,0.0
Cebolla,,7,g,3.0,0.1,2.2,0.0,0.0
Choclos,,7,g,8.4,0.3,1.8,0.1,0.1
Corbatitas,,35,g,122.5,4.3,26.1,0.1,0.1
Pollo,,30,g,39.1,6.7,0.5,0.0,1.1
Porotos verdes,,7,g,2.1,0.2,2.6,0.1,0.0
Zanahoria,,7,g,2.8,0.1,2.0,0.0,0.0
TOTAL,,,,210.7,11.9,37.0,0.5,4.4
Fideos a la jardinera /pavo,,,,,,,,
Aceite,,3,ml,26.9,0.0,0.8,0.0,3.0
Arvejas,,7,g,5.9,0.4,1.0,0.2,0.0
Cebolla,,7,g,3.0,0.1,2.2,0.0,0.0
Choclos,,7,g,8.4,0.3,1.8,0.1,0.1
Corbatitas,,35,g,122.5,4.3,26.1,0.1,0.1
Pavo,,30,g,36.8,6.6,0.4,0.0,1.0
Porotos verdes,,7,g,2.1,0.2,2.6,0.1,0.0
Zanahoria,,7,g,2.8,0.1,2.0,0.0,0.0
TOTAL,,,,208.4,11.9,36.9,0.5,4.3
/fideos a la jardinera ,,,,,,,,
Aceite,,3,ml,26.9,0.0,0.8,0.0,3.0
Arvejas,,7,g,5.9,0.4,1.0,0.2,0.0
Cebolla,,7,g,3.0,0.1,2.2,0.0,0.0
Choclos,,7,g,8.4,0.3,1.8,0.1,0.1
Corbatitas,,35,g,122.5,4.3,26.1,0.1,0.1
Porotos verdes,,7,g,2.1,0.2,2.6,0.1,0.0
Zanahoria,,7,g,2.8,0.1,2.0,0.0,0.0
TOTAL,,,,171.7,5.3,36.5,0.5,3.3
/arroz,,,,,,,,
Aceite,,1,ml,9.0,0.0,0.0,0.0,1.0
Arroz,,35,g,123.1,2.2,27.9,0.1,0.3
TOTAL,,36,,132.0,2.2,27.9,0.1,1.3
Fetuccine /ss alfredo,,,,,,,,
Aceite,,2,ml,17.9,0.0,0.6,0.0,2.0
Coditos,,35,g,122.5,4.3,26.1,0.1,0.1
Jamón,,30,g,36.9,5.7,0.1,0.0,1.5
Leche 12%  MG ,,5,g,20.8,1.6,2.3,0.0,0.6
Maicena,,3,g,10.5,0.0,2.6,0.0,0.0
TOTAL,,75,,208.7,11.5,31.7,0.1,4.2
Pastel de choclos,,,,,,,,
Aceite,,2,ml,17.9,0.0,0.6,0.0,2.0
Choclos,,150,g,179.0,6.3,34.1,1.5,2.0
Leche 12%  MG ,,3,g,12.5,0.9,1.4,0.0,0.4
Huevo,,10,g,16.0,1.4,0.4,0.0,1.0
vacuno,,30,g,38.9,7.1,0.5,0.0,0.9
cebolla,,20,g,8.7,0.2,1.9,0.1,0.0
Albahaca,,,g,0.0,0.0,0.0,0.0,0.0
TOTAL,,215,,272.9,15.8,38.9,1.6,6.3
Pastelera al horno,,,,,,,,
Aceite,,2,ml,17.9,0.0,0.6,0.0,2.0
Choclos,,150,g,179.0,6.3,34.1,1.5,2.0
Cebolla,,10,g,4.3,0.1,1.0,0.1,0.0
Leche 12%  MG ,,3,g,12.5,0.9,1.4,0.0,0.4
Huevo,,15,g,24.0,2.0,0.6,0.0,1.5
Albahaca,,,,,,,,
TOTAL,,180,,237.7,9.3,37.6,1.6,5.8
Fideos a la florentina,,,,,,,,
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
Queso gauda,,7,g,24.6,1.7,0.4,0.0,1.8
Espinacas,,20,g,7.1,0.4,1.1,0.1,0.2
Leche 12%  MG ,,5,g,20.8,1.6,2.3,0.0,0.6
Coditos,,35,g,122.5,4.3,26.1,0.1,0.1
TOTAL,,70,,201.9,7.9,29.8,0.2,5.6
/fideos en salsa,,,,,,,,
Aceite,,2,ml,17.9,0.0,0.0,0.0,2.0
Cebolla,,7,g,3.0,0.1,0.7,0.0,0.0
Coditos,,35,g,122.5,4.3,26.1,0.1,0.1
Salsa tomate,,7,g,3.3,0.1,0.7,0.0,0.0
Zanahoria,,7,g,2.8,0.1,0.6,0.0,0.0
TOTAL,,58,,149.6,4.5,28.0,0.2,2.2
/corbatitas en ss tomate,,,,,,,,
Aceite,,2,ml,17.9,0.0,0.0,0.0,2.0
Cebolla,,7,g,3.0,0.1,0.7,0.0,0.0
Corbatitas,,35,g,122.5,4.3,26.1,0.1,0.1
Salsa tomate,,10,g,4.8,0.1,1.0,0.0,0.0
Zanahoria,,7,g,2.8,0.1,0.6,0.0,0.0
TOTAL,,61,,151.0,4.5,28.3,0.2,2.2
/espirales,,,,,,,,
Aceite,,1,ml,9.0,0.0,0.0,0.0,1.0
Espirales,,35,g,122.5,4.3,26.1,0.1,0.1
