Lasaña de zapallo italiano.,,,,,,,,
Aceite,,5,ml,44.9,0.0,0.0,0.0,5.0
Cebolla,,20,g,8.7,0.2,1.9,0.1,0.0
Vacuno,,50,g,64.8,11.8,0.9,0.0,1.6
Harina,,5,g,17.4,0.4,3.8,0.0,0.1
Leche 12%  MG ,,6,g,25.0,1.9,2.8,0.0,0.7
Queso gauda,,15,g,52.6,3.7,0.8,0.0,3.8
Tomate,,25,g,4.9,0.2,0.8,0.2,0.1
Zanahoria,,15,g,6.1,0.1,1.2,0.1,0.1
Zapallo italiano,,150,g,25.7,2.0,3.5,0.9,0.5
TOTAL,,,,249.9,20.2,15.7,1.3,11.8
Lasaña vegetariana.,,,,,,,,
Aceite,,4,ml,35.9,0.0,0.0,0.0,4.0
Cebolla,,15,g,6.5,0.1,1.4,0.1,0.0
Espinacas,,50,g,17.8,0.9,2.7,0.4,0.4
Harina,,5,g,17.4,0.4,3.8,0.0,0.1
Lasaña,,35,g,122.5,4.3,26.1,0.1,0.1
Leche 12%  MG ,,6,g,25.0,1.9,2.8,0.0,0.7
Queso gauda,,15,g,52.6,3.7,0.8,0.0,3.8
Tomate,,60,g,11.8,0.5,1.9,0.4,0.2
Zanahoria,,15,g,6.1,0.1,1.2,0.1,0.1
Zapallo italiano,,60,g,10.3,0.8,1.4,0.4,0.2
TOTAL,,265,,305.8,12.7,42.1,1.4,9.6
Fideos a la jardinera /huevo.,,,,,,,,
Aceite,,4,ml,35.9,0.0,0.0,0.0,4.0
Arvejas,,10,g,8.4,0.6,1.4,0.3,0.1
Cebolla,,10,g,4.3,0.1,1.0,0.1,0.0
Choclos,,10,g,11.9,0.4,2.3,0.1,0.1
Corbatitas,,45,g,157.5,5.5,33.6,0.1,0.1
Huevo,,25,g,40.0,3.4,1.0,0.0,2.5
Porotos verdes,,10,g,3.1,0.2,0.5,0.2,0.0
Zanahoria,,10,g,4.1,0.1,0.8,0.1,0.1
TOTAL,,,,265.2,10.3,40.5,0.8,6.9
Fideos a la jardinera /pollo.,,,,,,,,
Aceite,,4,ml,35.9,0.0,0.0,0.0,4.0
Arvejas,,10,g,8.4,0.6,1.4,0.3,0.1
Cebolla,,10,g,4.3,0.1,1.0,0.1,0.0
Choclos,,10,g,11.9,0.4,2.3,0.1,0.1
Corbatitas,,45,g,157.5,5.5,33.6,0.1,0.1
Pollo,,40,g,52.1,8.9,0.7,0.0,1.5
Porotos verdes,,10,g,3.1,0.2,0.5,0.2,0.0
Zanahoria,,10,g,4.1,0.1,0.8,0.1,0.1
TOTAL,,,,277.2,15.8,40.1,0.8,5.9
Fideos a la jardinera /pavo.,,,,,,,,
Aceite,,4,ml,35.9,0.0,0.0,0.0,4.0
Arvejas,,10,g,8.4,0.6,1.4,0.3,0.1
Cebolla,,10,g,4.3,0.1,1.0,0.1,0.0
Choclos,,10,g,11.9,0.4,2.3,0.1,0.1
Corbatitas,,45,g,157.5,5.5,33.6,0.1,0.1
Pavo,,40,g,49.0,8.8,0.5,0.0,1.3
Porotos verdes,,10,g,3.1,0.2,0.5,0.2,0.0
Zanahoria,,10,g,4.1,0.1,0.8,0.1,0.1
TOTAL,,,,274.2,15.7,39.9,0.8,5.7
/fideos a la jardinera.,,,,,,,,
Aceite,,4,ml,35.9,0.0,0.0,0.0,4.0
Arvejas,,10,g,8.4,0.6,1.4,0.3,0.1
Cebolla,,10,g,4.3,0.1,1.0,0.1,0.0
Choclos,,10,g,11.9,0.4,2.3,0.1,0.1
Corbatitas,,45,g,157.5,5.5,33.6,0.1,0.1
Porotos verdes,,10,g,3.1,0.2,0.5,0.2,0.0
Zanahoria,,10,g,4.1,0.1,0.8,0.1,0.1
TOTAL,,,,225.2,6.9,39.5,0.8,4.4
/arroz.,,,,,,,,
Aceite,,1.5,ml,13.5,0.0,0.0,0.0,1.5
Arroz,,45,g,158.2,2.9,35.9,0.1,0.4
TOTAL,,46.5,,171.7,2.9,35.9,0.1,1.9
Fetuccine /ss alfredo.,,,,,,,,
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
Coditos,,45,g,157.5,5.5,33.6,0.1,0.1
Jamón,,30,g,36.9,5.7,0.1,0.0,1.5
Leche 12%  MG ,,5,g,20.8,1.6,2.3,0.0,0.6
Maicena,,3,g,10.5,0.0,2.6,0.0,0.0
TOTAL,,86,,252.7,12.7,38.6,0.1,5.3
Pastel de choclos.,,,,,,,,
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
Choclos,,180,g,214.7,7.6,40.9,1.8,2.3
Leche 12%  MG ,,5,g,20.8,1.6,2.3,0.0,0.6
Huevo,,10,g,16.0,1.4,0.4,0.0,1.0
vacuno,,40,g,51.8,9.4,0.7,0.0,1.2
cebolla,,30,g,13.0,0.2,2.9,0.2,0.1
Albahaca,,,g,0.0,0.0,0.0,0.0,0.0
