Bavarois,,,,,,,,
Leche ideal,,30,g,42.1,2.1,3.1,0.0,2.4
Jalea,,10,g,39.2,0.9,8.9,0.0,0.0
Agua,,20,ml,0.0,0.0,0.0,0.0,0.0
TOTAL,,,,81.4,3.0,12.0,0.0,2.4
Compota kiwi,,,,,Kiwi /azúcar,,,
Kiwi,,60,g,44.8,0.5,9.8,1.0,0.4
Azúcar,,5,g,19.9,0.0,5.0,0.0,0.0
Agua,,40,ml,0.0,0.0,0.0,0.0,0.0
TOTAL,,,,64.7,0.5,14.8,1.0,0.4
Compota damasco,,,,,,,,
Damasco,,60,g,35.9,0.5,7.7,0.7,0.4
Azúcar,,5,g,19.9,0.0,5.0,0.0,0.0
Agua,,40,ml,0.0,0.0,0.0,0.0,0.0
TOTAL,,,,55.8,0.5,12.7,0.7,0.4
Yogurt /arandanos,,,,,,,,
Arandanos,,30,g,18.3,0.2,3.9,0.3,0.2
Yogurt,,50,ml,31.3,1.8,2.4,0.0,1.7
,,,,,,,,
TOTAL,,,,49.6,2.0,6.3,0.3,1.8
Huesillos con mote,,,,,,,,
Huesillos cocidos,,100,g,33.5,0.4,5.5,0.4,1.1
Azúcar,,5,g,19.9,0.0,5.0,0.0,0.0
Trigo mote,,5,g,7.0,0.2,1.5,0.0,0.0
TOTAL,,,,60.4,0.6,12.0,0.4,1.1
Yogurt /durazno,,,,,,,,
Durazno ,,30,g,15.0,0.2,3.3,0.1,0.1
Yogurt,,50,ml,31.3,1.8,2.4,0.0,1.7
,,,,,,,,
TOTAL,,,,46.2,2.0,5.7,0.1,1.7
Fruta,,,,,,,,
Manzana,,80,g,49.5,0.2,11.6,0.4,0.2
Plátano,,0,g,0.0,0.0,0.0,0.0,0.0
,,,,,,,,
TOTAL,,,,49.5,0.2,11.6,0.4,0.2
Puré frutas crudas,,,,,,,,
Plátano,,40,g,37.6,0.5,8.5,0.3,0.2
Manzana,,40,g,24.8,0.1,5.8,0.2,0.1
,,,,,,,,
TOTAL,,,,62.4,0.6,14.3,0.5,0.3
Sémola con leche,,,,,,,,
Sémola,,10,g,34.9,0.8,7.8,0.1,0.1
Leche 12%  MG ,,10,g,41.6,3.1,4.6,0.0,1.2
Azúcar,,5,g,19.9,0.0,5.0,0.0,0.0
Agua,,100,ml,0.0,0.0,0.0,0.0,0.0
TOTAL,,,,96.4,3.9,17.3,0.1,1.3
Flan /caramelo,,,,,,,,
Flan,,15,g,58.8,0.2,14.5,0.0,0.0
Leche 12%  MG ,,10,g,41.6,3.1,4.6,0.0,1.2
Azúcar,,3,g,11.9,0.0,3.0,0.0,0.0
TOTAL,,,,112.3,3.3,22.1,0.0,1.2
Helado /galleta (1),,,,,,,,
Helado de leche,,80,ml,74.7,0.6,11.2,0.0,3.0
Galletas,,5,g,22.5,0.4,3.7,0.0,0.7
TOTAL,,,,97.2,1.0,14.9,0.0,3.7
Jalea c/fruta,,,,,,,,
Jalea,,13,g,51.0,1.2,11.6,0.0,0.0
Plátano,,20,g,18.8,0.3,4.3,0.1,0.1
Agua,,80,ml,0.0,0.0,0.0,0.0,0.0
TOTAL,,,,69.8,1.4,15.9,0.1,0.1
Postre leche,,,,,,,,
Sémola c/leche,,20,g,69.5,2.2,14.5,1.4,0.3
,,,,,,,,
Agua,,80,ml,0.0,0.0,0.0,0.0,0.0
TOTAL,,,,69.5,2.2,14.5,1.4,0.3
Sémola c/leche,,,,,,,,
Sémola c/leche,,20,g,69.5,2.2,14.5,1.4,0.3
,,,,,,,,
Agua,,80,ml,0.0,0.0,0.0,0.0,0.0
TOTAL,,,,69.5,2.2,14.5,1.4,0.3
Ensalada frutas,,,,,,,,
Plátano,,30,g,28.2,0.4,6.4,0.2,0.1
Pera,,30,g,16.6,0.1,3.8,0.6,0.1
Manzana,,20,g,12.4,0.1,2.9,0.1,0.1
,,,,,,,,
TOTAL,,,,57.1,0.5,13.1,0.9,0.3
Puré manzana cruda,,,,,Puré manzana cocida,,,
Manzana,,80,g,49.5,0.2,11.6,0.4,0.2
Azúcar,,1,g,4.0,0.0,1.0,0.0,0.0
Agua,,40,ml,0.0,0.0,0.0,0.0,0.0
TOTAL,,,,53.5,0.2,12.6,0.4,0.2
Compota frutas surtidas,,,,,,,,
Pera,,30,g,16.6,0.1,3.8,0.6,0.1
Manzana,,20,g,12.4,0.1,2.9,0.1,0.1
Kiwi,,30,g,22.4,0.3,4.9,0.5,0.2
Azúcar,,3,g,11.9,0.0,3.0,0.0,0.0
TOTAL,,,,63.3,0.4,14.6,1.2,0.4
Yogurt /plátano,,,,,,,,
Plátano,,30,g,28.2,0.4,6.4,0.2,0.1
Yogurt,,50,ml,31.3,1.8,2.4,0.0,1.7
TOTAL,,,,59.5,2.1,8.7,0.2,1.8
Yogurt /cereal.,,,,,,,,
Yogurt,,80,ml,50.0,2.8,3.8,0.0,2.6
Cereal nartur,,10,g,38.0,0.4,9.0,0.0,0.0
TOTAL,,,,88.0,3.2,12.7,0.0,2.7
Queque.,,,,,,,,
Queque,,30,g,106.6,3.1,22.9,0.8,0.3
TOTAL,,30,,106.6,3.1,22.9,0.8,0.3
Plátano /jugo naranja,,,,,,,,
Plátano,,80,g,75.2,1.0,17.0,0.6,0.3
NARANJA,,20,g,8.1,0.1,1.7,0.1,0.1
TOTAL,,100,,83.3,1.2,18.8,0.7,0.4
Frutas,,,,,,,,
