Vacuno al jugo,,,,,,,,
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
Cebolla,,10,g,4.3,0.1,1.0,0.1,0.0
Vacuno,,40,g,51.8,9.4,0.7,0.0,1.2
Zanahoria,,10,g,4.1,0.1,0.8,0.1,0.1
Harina,,5,g,17.4,0.4,3.8,0.0,0.1
TOTAL,,68,,104.5,10.0,6.3,0.2,4.4
Pesto tomate albahaca,,,,,,,,
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
Albahaca,,1,g,0.0,0.0,0.0,0.0,0.0
Cebolla,,10,g,4.3,0.1,1.0,0.1,0.0
Queso gauda,,7,g,24.6,1.7,0.4,0.0,1.8
Tomate,,40,g,7.8,0.3,1.3,0.2,0.2
Salsa tomate,,5,g,2.4,0.1,0.5,0.0,0.0
Zanahoria,,12,g,4.9,0.1,1.0,0.1,0.1
TOTAL,,,,70.9,2.3,4.1,0.4,5.0
Pesto palta albahaca,,,,,,,,
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
Albahaca,,1,g,0.0,0.0,0.0,0.0,0.0
Leche 18%  MG,,3,g,13.6,0.8,1.4,0.0,0.5
Queso gauda,,7,g,24.6,1.7,0.4,0.0,1.8
Palta,,30,g,58.4,0.4,1.7,0.4,5.6
TOTAL,,,,123.5,3.0,3.4,0.4,10.9
Salsa boloñesa /vacuno,,,,,,,,
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
Cebolla,,15,g,6.5,0.1,1.4,0.1,0.0
Queso rallado,,2,g,9.2,0.6,0.2,0.0,0.7
Salsa tomate,,15,g,7.1,0.2,1.5,0.1,0.1
Vacuno,,40,g,51.8,9.4,0.7,0.0,1.2
Zanahoria,,15,g,6.1,0.1,1.2,0.1,0.1
TOTAL,,,,107.7,10.5,5.0,0.3,5.1
Vacuno arvejado,,,,,,,,
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
Arvejas,,10,g,8.4,0.6,1.4,0.3,0.1
Cebolla,,7,g,3.0,0.1,0.7,0.0,0.0
