Salsa tomate natural /vacuno,,,,,,,,
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
Cebolla,,10,g,4.3,0.1,1.0,0.1,0.0
Tomate,,40,g,7.8,0.3,1.3,0.2,0.2
Vacuno,,30,g,38.9,7.1,0.5,0.0,0.9
Zanahoria,,10,g,4.1,0.1,0.8,0.1,0.1
TOTAL,,93,,82.0,7.6,3.6,0.4,4.2
Pesto espinacas,,,,,,,,
Aceite,,2,ml,17.9,0.0,0.0,0.0,2.0
,,,,,,,,
Cebolla,,7,g,3.0,0.1,0.7,0.0,0.0
Queso gauda,,7,g,24.6,1.7,0.4,0.0,1.8
Leche 26%  MG,,5,g,24.3,1.3,1.9,0.0,1.3
Espinacas,,30,g,10.7,0.5,1.6,0.2,0.2
Zanahoria,,7,g,2.8,0.1,0.6,0.0,0.0
TOTAL,,,,83.4,3.7,5.1,0.3,5.4
Vacuno mongoliano,,,,,,,,
Aceite,,4,ml,35.9,0.0,0.0,0.0,4.0
cebollín,,20,g,8.7,0.2,1.9,0.1,0.0
zanahoria,,7,g,2.8,0.1,0.6,0.0,0.0
Vacuno,,40,g,51.8,9.4,0.7,0.0,1.2
,,,,,,,,
TOTAL,,71,,99.2,9.7,3.2,0.2,5.3
Vacuno en salsa,,,,,,,,
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
Cebolla,,10,g,4.3,0.1,1.0,0.1,0.0
Salsa tomate,,10,g,4.8,0.1,1.0,0.0,0.0
Vacuno,,40,g,51.8,9.4,0.7,0.0,1.2
Zanahoria,,10,g,4.1,0.1,0.8,0.1,0.1
,,,,,,,,
TOTAL,,,,91.9,9.7,3.5,0.2,4.3
Vacuno al jugo,,,,,,,,
Aceite,,3,ml,26.9,0.0,0.0,0.0,3.0
,,7,g,0.0,0.0,0.0,0.0,0.0
Cebolla,,7,g,3.0,0.1,0.7,0.0,0.0
Vacuno,,40,g,51.8,9.4,0.7,0.0,1.2
Zanahoria,,10,g,4.1,0.1,0.8,0.1,0.1
TOTAL,,67,,85.8,9.6,2.2,0.1,4.3
